UpdateTime,AZ,EL,Range,Position_lat_,Position_lon_,Position_altMSL_,Speed,RadialVelocity
2.001158,198.6995,12.88601,240.0286,-75.01624,-221.6323,53.52931,15,8.582251
3.003292,202.335,13.96284,235.0797,-86.69554,-211.0186,56.72301,15.11913,4.938361
4.004552,206.3233,14.3337,233.9726,-100.5222,-203.1828,57.92431,15.01585,1.105678
5.005387,210.3404,14.43866,234.0593,-114.4974,-195.6223,58.36112,15.0021,-0.08659757
6.006375,214.3388,14.40917,235.1669,-128.4813,-188.0729,58.52008,15.00028,-1.106512
7.007656,218.2787,14.28755,237.3608,-142.4937,-180.5666,58.5779,15.00004,-2.191086
8.008203,222.1215,14.09766,240.5781,-156.4973,-173.0682,58.59893,15,-3.215573
9.009858,225.8447,13.85217,244.7881,-170.5166,-165.5614,58.60659,15,-4.203053
10.01022,229.4155,13.56221,249.9324,-184.5178,-158.0643,58.60937,15,-5.142428
11.01171,232.8251,13.23681,255.9672,-198.5348,-150.5588,58.61038,15,-6.025785
12.01256,236.0564,12.88561,262.8218,-212.5428,-143.0581,58.61075,15,-6.848761
13.01428,239.1082,12.51651,270.4442,-226.5629,-135.5509,58.61089,15,-7.609342
14.01431,241.9724,12.1377,278.7517,-240.5595,-128.0563,58.61089,15,-8.307279
15.01487,244.6584,11.75468,287.7011,-254.5634,-120.5577,58.6109,15,-8.944447
16.01643,247.1727,11.37231,297.2399,-268.5808,-113.0516,58.6109,15,-9.523839
17.01791,249.52,10.99512,307.3047,-282.5968,-105.5462,58.6109,15,-10.05001
18.01792,251.7064,10.62668,317.8307,-296.5923,-98.05181,58.6109,15,-10.52591
19.01951,253.7481,10.26813,328.8043,-310.61,-90.54552,58.6109,15,-10.95612
20.01988,255.6493,9.922004,340.1532,-324.6104,-83.04842,58.6109,15,-11.34475
21.02088,257.4232,9.588679,351.8607,-338.6198,-75.54654,58.6109,15,-11.6957
22.02324,259.0804,9.268556,363.9021,-352.6483,-68.0345,58.6109,15,-12.01306
23.02425,260.6255,8.962671,376.2145,-366.6577,-60.53256,58.61089,15,-12.29997
24.02533,262.0693,8.670565,388.7875,-380.6682,-53.03011,58.6109,15,-12.55947
25.02711,263.4207,8.391805,401.6049,-394.6885,-45.52244,58.6109,15,-12.79468
26.02736,264.6842,8.12666,414.6161,-408.6873,-38.02624,58.61089,15,-13.00797
27.02825,265.8695,7.874048,427.8296,-422.6951,-30.52518,58.61089,15,-13.2017
28.02986,266.9828,7.63345,441.2293,-436.713,-23.0188,58.61089,15,-13.37821
29.03053,268.0279,7.404752,454.7775,-450.7177,-15.51943,58.6109,15,-13.53909
30.0316,269.0117,7.187063,468.4782,-464.7282,-8.016985,58.6109,15,-13.68594
31.03169,269.9375,6.980052,482.2996,-478.7247,-0.5219917,58.61089,15,-13.82024
32.03334,270.8121,6.782667,496.2659,-492.7432,6.984743,58.6109,15,-13.94334
33.03427,271.6374,6.594842,510.3354,-506.7516,14.48612,58.6109,15,-14.05639
34.03492,272.4175,6.415913,524.5049,-520.756,21.98531,58.6109,15,-14.16036
35.03601,273.1562,6.24529,538.7766,-534.7667,29.48789,58.6109,15,-14.25602
36.03609,273.8555,6.082701,553.1221,-548.7632,36.98282,58.61089,15,-14.34436
37.03751,274.5198,5.92728,567.5685,-562.7784,44.48781,58.6109,15,-14.42593
38.0386,275.1506,5.778995,582.0856,-576.7889,51.99029,58.6109,15,-14.50144
39.03964,275.7502,5.63722,596.6724,-590.7989,59.49246,58.6109,15,-14.57153
40.03991,276.3205,5.501818,611.3129,-604.7981,66.98887,58.6109,15,-14.63657
41.04019,276.8637,5.372209,626.0139,-618.7973,74.48529,58.6109,15,-14.69692
42.04091,277.382,5.24811,640.7778,-632.8029,81.98508,58.6109,15,-14.75322
43.04102,277.8765,5.129232,655.5851,-646.7997,89.48025,58.6109,15,-14.80571
44.04282,278.3496,5.015088,670.4665,-660.8203,96.98807,58.6109,15,-14.85466
45.04318,278.8015,4.905764,685.3724,-674.8207,104.4851,58.6109,15,-14.90048
46.04443,279.2342,4.800692,700.3344,-688.8335,111.9889,58.6109,15,-14.94338
47.04457,279.6483,4.699863,715.3201,-702.8308,119.4843,58.6109,15,-14.98363
48.04487,280.0453,4.603046,730.3459,-716.8304,126.9809,58.6109,15,-15.02132
49.04498,280.4261,4.509802,745.4042,-730.8272,134.476,58.6109,15,-15.05667
50.0456,280.7919,4.420092,760.5037,-744.8314,141.9751,58.6109,15,-15.09006
51.04696,281.1436,4.333682,775.6456,-758.8457,149.4796,58.6109,15,-15.12143
52.04745,281.4815,4.250404,790.8041,-772.8479,156.9776,58.61089,15,-15.15103
53.04823,281.8067,4.17021,805.9949,-786.8542,164.4778,58.6109,15,-15.17894
54.04873,282.1196,4.092803,821.2076,-800.8564,171.9759,58.61089,15,-15.2052
55.04993,282.4214,4.018051,836.4562,-814.8687,179.4792,58.6109,15,-15.23022
56.05101,282.7122,3.945857,851.7266,-828.8793,186.9817,58.6109,15,-15.25385